"tank_ID","Species","n.simple.N","n.sample.dissim","n.tank.dissim","Mean","SD","q.025","Median","q.975"
"24","Gadus chalcogrammus",9,0,0,0.170323719450504,0.0893867735890716,0.100011542419974,0.143056675930502,0.263812883473034
"24","Gadus macrocephalus",9,0,0,0.829674704321225,0.0893868223652751,0.736185456212411,0.85694192836886,0.89998681198955
"3","Boreogadus saida",9,1,0,0.191342655480734,0.00569528422262072,0.186680656710464,0.189894099753318,0.197235926619308
"3","Gadus chalcogrammus",9,1,0,0.808652883531996,0.00569674684558069,0.802757894911996,0.810102664305749,0.813315558494307
"3","Gadus macrocephalus",9,1,0,4.45842369999819e-06,1.64528498996448e-06,3.26312008103357e-06,3.81237972199997e-06,6.20286470026131e-06
"30","Boreogadus saida",9,0,0,1.55252169394558e-06,1.14718264858701e-07,1.43550412689371e-06,1.57522111995908e-06,1.65024474888598e-06
"30","Gadus chalcogrammus",9,0,0,0.641006893795639,0.0208869904312489,0.618690543582563,0.652913962413106,0.653202235683868
"30","Gadus macrocephalus",9,0,0,0.35899148163584,0.0208869034253931,0.346796111041618,0.347084551744315,0.38130774263786
"32","Boreogadus saida",9,0,0,1.60596135863926e-06,2.57826714055816e-07,1.34928718717223e-06,1.63665267984875e-06,1.83654790707822e-06
"32","Gadus chalcogrammus",9,0,0,0.2062263455267,0.0976508163185377,0.106904719173322,0.224546201467359,0.289976094330519
"32","Gadus macrocephalus",9,0,0,0.793771949865853,0.0976506905192773,0.710022472279534,0.775451826116277,0.893093532639311
"34","Boreogadus saida",9,0,0,7.14057616367473e-07,2.28216530494682e-08,6.91005427374715e-07,7.17802757804363e-07,7.33926435138875e-07
"34","Gadus chalcogrammus",9,0,0,0.999997276269654,2.06026099081924e-07,0.999997061163938,0.999997337267098,0.999997439527542
"34","Gadus macrocephalus",9,0,0,2.00821289678293e-06,1.92685613011872e-07,1.84359145586572e-06,1.97093635443336e-06,2.20451939869729e-06
"38","Boreogadus saida",9,3,0,0.523863464233302,0.207354538098961,0.315988710620402,0.55290407310249,0.707053700307393
"38","Gadus chalcogrammus",9,3,0,3.38477478296498e-06,1.56112127970384e-06,1.99992984663604e-06,3.17693943631134e-06,4.94627976394953e-06
"38","Gadus macrocephalus",9,3,0,0.476132986035247,0.207355328767321,0.292941212378553,0.447093863029011,0.684008014247243
"39","Boreogadus saida",9,0,0,0.134652357118039,0.0111447616768477,0.126124054530843,0.130893506045662,0.146375683116756
"39","Gadus chalcogrammus",9,0,0,0.533340897870612,0.0254453848132754,0.506155709440098,0.547881632185753,0.548166462133255
"39","Gadus macrocephalus",9,0,0,0.332006679181343,0.0148271360855732,0.321191001698817,0.326245266205451,0.347719557693378
"40","Boreogadus saida",9,2,1,0.270282726263355,0.185904485878003,0.0715861696263609,0.363182028426131,0.390014876061989
"40","Gadus chalcogrammus",9,2,1,0.358214721644627,0.00571009349150747,0.352181834566473,0.360303287523109,0.362472327726073
