"tank_ID","Species","n.simple.N","n.sample.dissim","n.tank.dissim","Mean","SD","q.025","Median","q.975"
"47","Boreogadus saida",9,0,0,0.648175268053173,0.0202447143020765,0.626975628178161,0.654481731847317,0.664014413703162
"47","Gadus chalcogrammus",9,0,0,0.351824731946827,0.0202447143020765,0.335985586296838,0.345518268152683,0.373024371821839
"47","Gadus macrocephalus",9,0,0,0,0,0,0,0
"49","Boreogadus saida",9,0,0,0.0221560739506301,0.0325425516310412,0.00296596031606615,0.00381767822762514,0.0569338239497482
"49","Gadus chalcogrammus",9,0,0,0.975990706162314,0.0336120848545213,0.940051258871041,0.994042927431258,0.996585765374984
"49","Gadus macrocephalus",9,0,0,0.00185321988705615,0.00137341079665811,0.000448274308949861,0.0021393943411169,0.00301491717921079
"50","Boreogadus saida",9,0,0,0.00529224313744298,0.00538827706863477,0.000255252681105587,0.00510505362211174,0.0104883446818119
"50","Gadus chalcogrammus",9,0,0,0,0,0,0,0
"50","Gadus macrocephalus",9,0,0,0.994707756862557,0.00538827706863465,0.989511655318188,0.994894946377888,0.999744747318894
"51","Boreogadus saida",4,0,2,0.5,0.707106781186548,0.0249999999999999,0.5,0.975
"51","Gadus chalcogrammus",4,0,2,0,0,0,0,0
"51","Gadus macrocephalus",4,0,2,0.5,0.707106781186548,0.0249999999999999,0.5,0.975
"54","Boreogadus saida",2,0,0,0.994373287218545,NA,0.994373287218545,0.994373287218545,0.994373287218545
"54","Gadus chalcogrammus",2,0,0,0.00286650286650287,NA,0.00286650286650287,0.00286650286650287,0.00286650286650287
"54","Gadus macrocephalus",2,0,0,0.00276020991495201,NA,0.00276020991495201,0.00276020991495201,0.00276020991495201
"55","Boreogadus saida",9,1,0,0.00478634601744567,0.00261514714812002,0.00227008416093095,0.00486323433935711,0.00723725280033566
"55","Gadus chalcogrammus",9,1,0,0.61563335039665,0.0456444940044901,0.570696591942612,0.619632102121145,0.657171169884868
"55","Gadus macrocephalus",9,1,0,0.379580303585904,0.0472222690099841,0.337840647435724,0.373005696738468,0.426908375556405
"56","Boreogadus saida",9,0,0,0.415514938850481,0.0218637495872486,0.399790022685242,0.406710860069014,0.438723321979966
"56","Gadus chalcogrammus",9,0,0,3.3693371069909e-05,5.83586305713537e-05,0,0,9.60261075492407e-05
"56","Gadus macrocephalus",9,0,0,0.58445136777845,0.0218266043291524,0.561276678020034,0.593289139930986,0.60011395120721
"58","Boreogadus saida",9,1,0,0.11628611053982,0.03375463120054,0.0902068670045349,0.105272450049641,0.151726965491758
"58","Gadus chalcogrammus",9,1,0,0.7471563688878,0.0369463230580004,0.709213007885945,0.755408807044697,0.778085157456293
"58","Gadus macrocephalus",9,1,0,0.13655752057238,0.00454876865119591,0.13169435889268,0.139046409975805,0.139305126259169
"59","Boreogadus saida",4,0,2,0.508190327613104,0.695523908795816,0.0409711388455537,0.508190327613104,0.975409516380655
"59","Gadus chalcogrammus",4,0,2,0.491809672386895,0.695523908795816,0.0245904836193447,0.491809672386895,0.959028861154446
"59","Gadus macrocephalus",4,0,2,0,0,0,0,0
"60","Boreogadus saida",9,0,0,0.000204988980936477,0.000183227200025448,1.31065508612439e-05,0.000262131017224877,0.000348300680166569
"60","Gadus chalcogrammus",9,0,0,0,0,0,0,0
"60","Gadus macrocephalus",9,0,0,0.999795011019063,0.000183227200025654,0.999651699319833,0.999737868982775,0.999986893449139
"62","Boreogadus saida",9,0,0,0.752375745254571,0.0552978385037387,0.694036573331925,0.772053386819855,0.793988921846727
"62","Gadus chalcogrammus",9,0,0,0.00019776216497528,0.000342534117552003,0,0,0.000563622170179547
"62","Gadus macrocephalus",9,0,0,0.247426492580453,0.0554043567943888,0.205981413828527,0.227353326685219,0.305933762343329
"63","Boreogadus saida",9,0,0,0,0,0,0,0
"63","Gadus chalcogrammus",9,0,0,0.0127136828452612,0.00357530853769882,0.00902299207564242,0.0135864034684539,0.0156625610851662
"63","Gadus macrocephalus",9,0,0,0.987286317154739,0.00357530853769884,0.984337438914834,0.986413596531546,0.990977007924358
"64","Boreogadus saida",9,1,0,0.0202202126883663,0.016337919967566,0.00975935125449149,0.011980972911296,0.0376844279327509
"64","Gadus chalcogrammus",9,1,0,0.887374271961837,0.00273578008070891,0.885466663838662,0.886191949080382,0.890286854534248
"64","Gadus macrocephalus",9,1,0,0.0924055153497971,0.0190213527596404,0.0720668904404601,0.102590536157501,0.104086872572586
"65","Boreogadus saida",9,0,0,0.000700920630839887,0.000837975244818234,2.36841372008136e-05,0.000473682744016272,0.00157130932827903
"65","Gadus chalcogrammus",9,0,0,0.899045324604279,0.0164630281960237,0.886901123574994,0.892837601756649,0.916466090054049
"65","Gadus macrocephalus",9,0,0,0.100253754764881,0.0172115872942803,0.0819862847548728,0.107162398243351,0.11264887781819
"67","Boreogadus saida",9,0,0,0,0,0,0,0
"67","Gadus chalcogrammus",9,0,0,0,0,0,0,0
"67","Gadus macrocephalus",9,0,0,1,0,1,1,1
"7","Boreogadus saida",9,0,0,0,0,0,0,0
"7","Gadus chalcogrammus",9,0,0,0.998659261542362,0.00232222712828999,0.996178895395733,1,1
"7","Gadus macrocephalus",9,0,0,0.00134073845763758,0.00232222712828982,0,0,0.0038211046042671
"70","Boreogadus saida",9,2,0,0.521299805377256,0.130935563175187,0.419202055189027,0.479988077690429,0.658512524099287
"70","Gadus chalcogrammus",9,2,0,0,0,0,0,0
"70","Gadus macrocephalus",9,2,0,0.478700194622744,0.130935563175187,0.341487475900713,0.520011922309571,0.580797944810973
"71","Boreogadus saida",9,2,0,0.828567653318369,0.0779527155364719,0.748183733422804,0.847255975880063,0.893066499036494
"71","Gadus chalcogrammus",9,2,0,0,0,0,0,0
"71","Gadus macrocephalus",9,2,0,0.171432346681631,0.0779527155364719,0.106933500963506,0.152744024119937,0.251816266577196
"72","Boreogadus saida",9,0,0,0,0,0,0,0
"72","Gadus chalcogrammus",9,0,0,0.106242256494309,0.0155962932788703,0.0902806492081477,0.109518384547236,0.119419154935482
"72","Gadus macrocephalus",9,0,0,0.893757743505691,0.0155962932788702,0.880580845064518,0.890481615452764,0.909719350791852
"73","Boreogadus saida",9,0,0,0,0,0,0,0
"73","Gadus chalcogrammus",9,0,0,0,0,0,0,0
"73","Gadus macrocephalus",9,0,0,1,0,1,1,1
"76","Boreogadus saida",9,0,0,0.0857927196500359,0.0118254254971602,0.0731626889505794,0.0914713877759841,0.0935958824424364
"76","Gadus chalcogrammus",9,0,0,0.914207280349964,0.01182542549716,0.906404117557564,0.908528612224016,0.92683731104942
"76","Gadus macrocephalus",9,0,0,0,0,0,0,0
"78","Boreogadus saida",9,0,0,0,0,0,0,0
"78","Gadus chalcogrammus",9,0,0,0.999390756452371,0.000245470977635273,0.999148078248326,0.999415089852751,0.999612751266094
"78","Gadus macrocephalus",9,0,0,0.000609243547628824,0.000245470977635285,0.000387248733906301,0.000584910147249256,0.000851921751673979
